,Palabra,Cita,Titular,Diario,Fecha
0,nazi,1,"Última hora | Iglesias lleva a la Fiscalía el cartel de Vox, que ""recuerda a propaganda nazi""",El Español,2021-04-12
1,combatir,1,"Última hora | Vara, contrario a abandonar los debates: ""Hay que combatir con la palabra""",El Español,2021-04-12
2,agresión,0,Vox se querella contra Marlaska por las agresiones en el mitin de Vallecas,El Mundo,2021-04-16
3,combatir,0,Casado llama a combatir el «virus del populismo» con la defensa de la libertad,ABC,2021-04-16
4,secuestrar,1,"Iglesias acusa a Ayuso de ""secuestrar"" a los madrileños para ""hacer caer"" la coalición",El Español,2021-04-17
5,luchar,0,Ciudadanos y Vox luchan por no ser devorados por el 'efecto Ayuso' en las urnas,El Mundo,2021-04-17
6,blindar,0,El desplome de Ángel Gabilondo blinda a Isabel Díaz Ayuso e impide a la izquierda ser alternativa,El Mundo,2021-04-17
7,atacar,0,"Los candidatos se atacan antes de la campaña: de la ""incapacidad"" de Ayuso al ""acomplejado"" Gabilondo",El Español,2021-04-17
8,bayoneta,0,¡A la bayoneta!,ABC,2021-04-18
9,fortín,0,"En el fortín de Ayuso: ""La clase obrera está sufriendo mucho. Hay mucha gente descontenta con el PSOE""",El Mundo,2021-04-19
10,batalla,1,Elecciones 4M: Podcast ‘La batalla por Madrid’,El País,2021-04-19
11,batalla,1,Podcast ‘La batalla por Madrid’,El País,2021-04-20
12,dictadura,1,"La dirección de Casado pide en campaña a todos sus cargos que defiendan que el PSOE ""blanquea dictaduras""",eldiario.es,2021-04-20
13,guerra,0,La guerra entre Más Madrid y Pablo Iglesias,El Confidencial,2021-04-20
20,batalla,1,Podcast ‘La batalla por Madrid’ | Ep 3. Escuchando a Vallecas,El País,2021-04-21
19,batalla,0,La pandemia y los mayores en residencias centran una dura batalla dialéctica entre los candidatos al 4-M,ABC,2021-04-21
18,atacar,0,Sánchez ataca la campaña de Vox desde Andorra: «Es una bajeza inclasificable»,ABC,2021-04-21
15,ataque,0,Abascal valora defenderse al sufrir Vox un nuevo ataque,ABC,2021-04-21
16,ataque,0,Isabel Díaz Ayuso se enfrenta hoy a los ataques de todos los partidos en el único debate a seis,El Mundo,2021-04-21
14,batalla,0,"Radiografía de Ángel Gabilondo, candidato del PSOE: amable pero sin carisma ante una batalla perdida",La Razón,2021-04-21
17,incendiar,0,Vox incendia la campaña en Madrid al señalar a 269 menores extranjeros,El Confidencial,2021-04-21
21,muerte,0,Marlaska y Pablo Iglesias denuncian una amenaza de muerte recibida en el Ministerio del Interior,El Mundo,2021-04-22
22,ataque,0,Así fueron los ataques en el debate de las elecciones de Madrid,ABC,2021-04-22
23,ataque,0,"Los datos del debate: quién se va por las ramas, los ataques y las interrupciones",El Confidencial,2021-04-22
24,muerte,0,Iglesias y Marlaska reciben sendas amenazas de muerte con balas: “El tiempo de reírte de nosotros se terminó”,El País,2021-04-22
25,batalla,1,Podcast ‘La batalla por Madrid’ | Ep. 4: Seis candidatos y un solo debate feroz,El País,2021-04-22
34,fascismo,0,Los mítines de PSOE y Unidas Podemos se convierten en alegatos contra el fascismo tras el plante de la izquierda a Vox,eldiario.es,2021-04-23
39,violencia,1,"Ayuso carga contra Pablo Iglesias: ""No puede ser que aquellos que provocan la violencia luego se hagan los ofendidos""",eldiario.es,2021-04-23
37,incendiar,0,Vox incendia la campaña al no condenar las amenazas a Iglesias: Unidas Podemos y Más Madrid no participarán en más debates con Monasterio,eldiario.es,2021-04-23
36,nazi,0,Vox copia las técnicas de propaganda nazi,El País,2021-04-23
35,secuestrar,0,Vox y UP secuestran la campaña y convierten el 4-M en un plebiscito sobre la democracia,El Confidencial,2021-04-23
33,violencia,1,"Elecciones Madrid Mitin tranquilo de Vox en Parla: «Condenamos toda la violencia, pero lo de Iglesias apesta a montaje»",ABC,2021-04-23
38,muerte,0,"Pablo Iglesias, sobre las amenazas de muerte: ""Hoy son balas de cetme, mañana ya veremos""",eldiario.es,2021-04-23
31,violencia,1,"Ayuso a Iglesias: ""Si quieres que condenen la violencia, aléjate de ella y no tontees con ETA""",El Español,2021-04-23
30,muerte,0,Iglesias abandona un debate al poner en duda Monasterio que haya sido amenazado de muerte,El Español,2021-04-23
29,violencia,1,"Díaz Ayuso, sobre Iglesias: “No puede ser que quienes provocan la violencia luego se hagan los ofendidos”",El País,2021-04-23
28,responsable,1,"Calvo asegura que el Gobierno “no parará hasta encontrar a los responsables” de las amenazas a Marlaska, Gámez e Iglesias",El País,2021-04-23
27,muerte,0,Pablo Iglesias abandona un debate porque Vox “no se cree” las amenazas de muerte y Rocío Monasterio le dice: “Lárguese”,La Razón,2021-04-23
32,batalla,1,Podcast ‘La batalla por Madrid’ | Ep. 5: De bares y cañas con unos guiris,El País,2021-04-23
26,antifascista,1,La verdadera historia del intérprete de signos 'antifascista' que 'cortó' el discurso de Monasterio,El Español,2021-04-23
50,batalla,0,"El PSOE clama contra la ""equidistancia"" del PP y plantea el 4M como una batalla entre ""fascismo o democracia""",eldiario.es,2021-04-24
49,fascismo,1,"El PSOE clama contra la ""equidistancia"" del PP y plantea el 4M como una batalla entre ""fascismo o democracia""",eldiario.es,2021-04-24
48,dinamita,0,Elecciones en Madrid: El choque Iglesias-Vox dinamita la campaña,La Razón,2021-04-24
47,dinamitir,0,Vox dinamita la campaña: se suspenden todos los debates y sus mítines se convierten en un polvorín,El Español,2021-04-24
46,polvorín,0,Vox dinamita la campaña: se suspenden todos los debates y sus mítines se convierten en un polvorín,El Español,2021-04-24
45,fascismo,0,"Colau pide no normalizar el fascismo y apoya a Iglesias ante ""las amenazas de la extrema derecha""",eldiario.es,2021-04-24
44,fascismo,1,"Illa cree que en Madrid se está produciendo ""un combate entre democracia y fascismo""",El Español,2021-04-24
43,muerte,0,Gabilondo acusa al PP de 'equidistancia' al condenar las amenazas de muerte contra Iglesias y Marlaska,El Español,2021-04-24
42,combate,1,"Illa cree que en Madrid se está produciendo ""un combate entre democracia y fascismo""",El Español,2021-04-24
41,guerra,1,"Ayuso pide no caer ""en guerras estériles"" el 4M mientras Casado acusa a la izquierda de ""resucitar al dóberman""",eldiario.es,2021-04-24
40,fascismo,1,"El clic de abril: de ""socialismo o libertad"" a ""democracia o fascismo""",El Mundo,2021-04-24
63,fascismo,1,"Bal rechaza el mensaje ""binario"" de 'democracia o fascismo': ""No sólo hay buenos y malos en Madrid""",El Español,2021-04-25
62,Antifascismo,0,Antifascismo y claveles: Iglesias viaja al siglo XX para remontar en la segunda semana de la campaña,La Razón,2021-04-25
61,Criminal,1,Grande-Marlaska llama al PP “organización criminal” y Pablo Casado le responde: “Criminal son los etarras que acerca”,La Razón,2021-04-25
64,criminal,1,Grande-Marlaska llama al PP “organización criminal” y Pablo Casado le responde: “Criminal son los etarras que acerca”,La Razón,2021-04-25
60,fascista,1,Gabilondo: “El 4-M va de defender las libertades frente a una reivindicación fascista”,El País,2021-04-25
59,fascismo,1,"Última hora de las elecciones en Madrid, en directo | Montero defiende el “pie en la pared” de Iglesias ante Vox y reclama: “Al fascismo ni agua”",El País,2021-04-25
58,arremetir,0,"Pedro Sánchez arremete contra Vox desde una zona confinada: ""El viernes cruzó una línea y será la última que cruce""",El Mundo,2021-04-25
54,arremete,0,"Pedro Sánchez arremete contra Vox desde una zona confinada: ""El viernes cruzó una línea y será la última que cruce""",El Mundo,2021-04-25
56,Antifascismo,0,Antifascismo y claves: Iglesias viaja al siglo XX para remontar en la segunda semana de la campaña,La Razón,2021-04-25
55,violencia,0,La manipulación de la violencia en campaña,La Razón,2021-04-25
53,fuego,0,Quien con fuego juega..,El País,2021-04-25
52,etarra,1,Grande-Marlaska llama al PP “organización criminal” y Pablo Casado le responde: “Criminal son los etarras que acerca”,La Razón,2021-04-25
51,fascismo,1,La izquierda reinventa la campaña: “Ya va de democracia o fascismo”,El País,2021-04-25
57,criminal,1,"El PP pide la dimisión de Marlaska por tachar al partido de ""organización criminal""",El Mundo,2021-04-25
80,ataque,0,Contundente respuesta de Figo a Pablo Iglesias después de su ataque a Ana Rosa Quintana,La Razón,2021-04-26
81,fascismo,0,Fascismo en campaña,eldiario.es,2021-04-26
82,agresión,0,Casado rechaza todas las amenazas y agresiones en la campaña y llama a salir de la radicalidad,ABC,2021-04-26
83,ensangrentado,1,"Interior investiga el envío de una navaja ""aparentemente ensangrentada"" a Maroto",El Confidencial,2021-04-26
84,fascismo,1,"Última hora de las elecciones en Madrid, en directo | Gabilondo anuncia “un cordón sanitario” contra Vox: “Entre fascismo y antifascismo no hay neutralidad. Hay que elegir”",El País,2021-04-26
87,antifascista,1,"Pablo Iglesias se jacta de haber arrastrado a Pedro Sánchez a sus posiciones ""antifascistas""",El Español,2021-04-26
86,muerte,1,"Maroto: ""Los demócratas estamos amenazados de muerte si no paramos a Vox en las urnas""",El Español,2021-04-26
88,muerte,0,Las amenazas de muerte a Iglesias y miembros del Gobierno acaparan todos los focos de la campaña,eldiario.es,2021-04-26
89,ensangrentado,0,La ministra Reyes Maroto recibe una carta con una navaja aparentemente ensangrentada,El País,2021-04-26
79,ensangrentado,0,La ministra Reyes Maroto recibe un sobre con una navaja ensangrentada,El Español,2021-04-26
85,criminal,1,El PP sale en tromba para exigir la dimisión de Marlaska tras llamar a ese partido «organización criminal»,ABC,2021-04-26
78,ensangrentado,1,La ministra Reyes Maroto recibe una carta con una navaja “aparentemente ensangrentada”,La Razón,2021-04-26
76,criminal,1,De Púnica al ‘caso Pujol’: el concepto de “organización criminal” con el que Grande-Marlaska se refirió al PP,El País,2021-04-26
67,criminal,1,"Gabilondo defiende las palabras de Marlaska en las que calificó al PP de ""organización criminal""",El Mundo,2021-04-26
75,batalla,1,"Podcast ‘La batalla por Madrid’ | Ep. 6: Tú amenazas, yo provoco, ellos blanquean",El País,2021-04-26
74,fascismo,0,Sánchez y Ayuso radicalizan la campaña combatiendo a fascismo y comunismo,El Español,2021-04-26
73,ensangrentado,0,La ministra Reyes Maroto recibe un sobre con una navaja ensangrentada,eldiario.es,2021-04-26
72,ensangrentada,0,"Un hombre con problemas mentales envió el sobre con la navaja ensangrentada a Reyes Maroto, según la Policía",El Mundo,2021-04-26
71,muerte,1,"La ministra Maroto, tras denunciar en comisaría: ""Todos los demócratas estamos amenazados de muerte si no paramos a Vox en las urnas""",eldiario.es,2021-04-26
70,ensangrentado,0,"Un hombre con problemas mentales envió el sobre con la navaja ensangrentada a Reyes Maroto, según la Policía",El Mundo,2021-04-26
69,ensangrentado,0,Amenaza a Reyes Maroto: recibe un sobre con una navaja ensangrentada en la sede del Ministerio,ABC,2021-04-26
68,combatir,0,Sánchez y Ayuso radicalizan la campaña combatiendo a fascismo y comunismo,El Español,2021-04-26
66,comunismo,0,Sánchez y Ayuso radicalizan la campaña combatiendo a fascismo y comunismo,El Español,2021-04-26
65,antifascismo,1,"Última hora de las elecciones en Madrid, en directo | Gabilondo anuncia “un cordón sanitario” contra Vox: “Entre fascismo y antifascismo no hay neutralidad. Hay que elegir”",El País,2021-04-26
77,criminal,1,Elecciones Madrid Ayuso califica de «deleznables» las acusaciones de «organización criminal» de Marlaska contra el PP,ABC,2021-04-26
117,cuchillo,0,"La izquierda se aferra a la ""amenaza fascista"" pese a que el cuchillo a Maroto lo envió un esquizofrénico",El Español,2021-04-27
116,guerra,0,Libertad e igualdad: las guerras culturales que pasan por las aulas,El Mundo,2021-04-27
