,titular,diario,fecha,todo
0," El Programa de Ana Rosa ' califica el acoso de nazis a Pablo Iglesias como "" jarabe democrático "" ",El Español,31-03-2021," El Programa de Ana Rosa ' califica el acoso de nazis a Pablo Iglesias como "" jarabe democrático ""  (El Español, 31-03-2021) | "
1,"Abascal contra Enrique Santiago , nuevo secretario de Estado : "" Sueña con asesinar a los Reyes "" ",El Español,01-04-2021,"Abascal contra Enrique Santiago , nuevo secretario de Estado : "" Sueña con asesinar a los Reyes ""  (El Español, 01-04-2021) | "
2,Ada Colau : Díaz Ayuso representa el neofascismo  ,ABC,17-03-2021,"Ada Colau : Díaz Ayuso representa el neofascismo   (ABC, 17-03-2021) | "
3,"Alberto Garzón : "" Hay una derecha capitaneada por Ayuso y por Vox que hace bandera de la desigualdad en España "" ",eldiario.es,03/04-2021,"Alberto Garzón : "" Hay una derecha capitaneada por Ayuso y por Vox que hace bandera de la desigualdad en España ""  (eldiario.es, 03/04-2021) | "
4,"Almeida : "" ¿ Madrileñofobia ? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez "" ",El Mundo,27-03-2021,"Almeida : "" ¿ Madrileñofobia ? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez ""  (El Mundo, 27-03-2021) | "
5,Almeida afirma que Iglesias está mucho más cerca de la cárcel de lo que estará Ayuso en su vida  ,El Español,22-03-2021,"Almeida afirma que Iglesias está mucho más cerca de la cárcel de lo que estará Ayuso en su vida   (El Español, 22-03-2021) | "
6,"Así funciona Bastión Frontal , el grupo neonazi que surge con violencia en barrios obreros",El Español,03-04-2021,"Así funciona Bastión Frontal , el grupo neonazi que surge con violencia en barrios obreros (El Español, 03-04-2021) | "
7,Así se han roto los dos años de amor y odio en el gobierno de Madrid,Público,marzo de 2021,"Así se han roto los dos años de amor y odio en el gobierno de Madrid (Público, marzo de 2021) | "
8,"Atacan con material explosivo la sede de Podemos en Cartagena : "" Es un atentado terrorista "" ",El Español,02-04-2021,"Atacan con material explosivo la sede de Podemos en Cartagena : "" Es un atentado terrorista ""  (El Español, 02-04-2021) | "
9,Ayuso : Pablo Iglesias es odio. Lleva un programa que fomenta la expropiación y okupación  ,El Español,22-03-2021,"Ayuso : Pablo Iglesias es odio. Lleva un programa que fomenta la expropiación y okupación   (El Español, 22-03-2021) | "
