,Diario,Titular,Pos,Neg,Neu,Extensión,Link,Fecha,Autor,Recogido,Obj_link
0,Público,Elecciones en Madrid Encuesta: ¿Ha hecho bien Pablo Iglesias en abandonar el debate en la Cadena SER tras las provocaciones de Vox?,0.0070649557746946,0.9229809045791626,0.0699540600180625,22,https://www.publico.es//politica/elecciones-madrid-encuesta-hecho-pablo-iglesias-abandonar-debate-cadena-provocaciones-vox.html,2021-02-22,[],03-05-21,<diario.Link object at 0x169fc5f28>
1,Público,"Elecciones Madrid Ayuso sitúa a Iglesias como rival a batir: ""Madrid no puede convertirse en Caracas""",0.019935131072998,0.7776743769645691,0.2023904770612716,16,https://www.publico.es//politica/elecciones-madrid-ayuso-situa-iglesias-rival-batir-madrid-no-convertirse-caracas.html,2021-03-15,[],03-05-21,<diario.Link object at 0x16960ff98>
2,El Mundo,El 4 de mayo no habrá clase en los colegios de Madrid por las elecciones,0.0073415744118392,0.8773099780082703,0.1153484582901001,15,https://www.elmundo.es/madrid/2021/03/17/6051f8e4fdddff01728b45b2.html,2021-03-17,['Kiko Huesca'],21-04-21,
3,Público,"Eutanasia Ángel Hernández: ""La lucha y el dolor de mi mujer fueron un revulsivo para aprobar la ley de eutanasia""",0.3773009181022644,0.2387480586767196,0.3839510083198547,20,https://www.publico.es//sociedad/angel-hernandez-ley-eutanasia.html,2021-03-18,[],03-05-21,<diario.Link object at 0x169617c88>
4,Público,"Elecciones en Madrid El PSOE denuncia a Ayuso ante la Junta Electoral ""por utilizar recursos públicos con fines electoralistas""",0.004523258190602,0.9746442437171936,0.0208324529230594,19,https://www.publico.es//politica/psoe-denuncia-ayuso-junta-electoral-utilizar-recursos-publicos-fines-electoralistas.html,2021-03-22,[],03-05-21,<diario.Link object at 0x16960f630>
5,Público,"Elecciones Madrid: Gabilondo rechaza pactar con Podemos tras las elecciones y tiende la mano a Más Madrid y Cs: ""Con este Iglesias, no""",0.0032305931672453,0.977042555809021,0.0197268091142177,23,https://www.publico.es//directos/elecciones-mocion-censura-castilla-leon-madrid.html,2021-03-22,[],03-05-21,<diario.Link object at 0x16960f550>
6,Público,Elecciones en Madrid Edmundo Bal gana las primarias y será el candidato de Ciudadanos en Madrid,0.09925127774477,0.0761646479368209,0.8245840072631836,16,https://www.publico.es//politica/elecciones-madrid-edmundo-bal-gana-primarias-sera-candidato-ciudadanos-madrid.html,2021-03-22,[],03-05-21,<diario.Link object at 0x16960fe48>
7,Público,"Elecciones Madrid: Iglesias: ""Es importante generar un ambiente de movilización para lograr un Gobierno decente en Madrid""",0.2029969841241836,0.0721195265650749,0.7248834371566772,17,https://www.publico.es//politica/elecciones-madrid-iglesias-importante-generar-ambiente-movilizacion-lograr-gobierno-decente-madrid.html,2021-03-22,[],03-05-21,<diario.Link object at 0x16960fcf8>
8,Público,"PP Casado gira su discurso y vuelve a hablar de ""inseguridad ciudadana, inmigración ilegal, ETA y cultura de la vida""",0.0062630884349346,0.9444642663002014,0.0492726005613803,20,https://www.publico.es//politica/pp-casado-gira-discurso-vuelve-hablar-inseguridad-ciudadana-inmigracion-ilegal-eta-cultura-vida.html,2021-03-23,[],03-05-21,<diario.Link object at 0x16960f2e8>
9,Público,"Podemos advierte a Gabilondo de que ""no le quedará otra"" que pactar con Iglesias para echar a Ayuso de Madrid",0.0070778140798211,0.9456924796104432,0.0472297295928001,20,https://www.publico.es//directos/elecciones-madrid-catalunya-mocion-censura.html,2021-03-23,[],03-05-21,<diario.Link object at 0x16960fcc0>
10,Público,"Sesión de control al Gobierno Sánchez reconoce que ""no es razonable"" el turismo internacional en España",0.002291913377121,0.9927279949188232,0.0049801068380475,16,https://www.publico.es//politica/sesion-control-gobierno-sanchez-reconoce-no-razonable-turismo-internacional-espana.html,2021-03-24,[],03-05-21,<diario.Link object at 0x16960fa20>
11,Público,Elecciones 4M Toni Cantó formará parte de la lista de Ayuso como independiente,0.0166390724480152,0.0987026020884513,0.8846583366394043,13,https://www.publico.es//politica/toni-canto-formara-parte-lista-ayuso-independiente.html,2021-03-24,[],03-05-21,<diario.Link object at 0x14e794240>
12,Público,"Casado acusa a Sánchez de ""disparar"" al PP con mociones y el presidente replica: ""Da pena verlo liderado por usted""",0.0019974894821643,0.9914177656173706,0.0065846941433846,20,https://www.publico.es//directos/elecciones-madrid-directo-ultimas-noticias-precampana-candidatos-lista-s4m.html,2021-03-24,[],03-05-21,<diario.Link object at 0x14e794828>
13,Público,Elecciones en la Comunidad de Madrid: La imposición de listas y mensajes desde Moncloa para el 4-M provoca un creciente malestar en el PSOE de Madrid,0.0020720830652862,0.992260754108429,0.0056671779602766,26,https://www.publico.es//politica/elecciones-comunidad-madrid-imposicion-listas-mensajes-moncloa-4-m-provoca-creciente-malestar-psoe-madrid.html,2021-03-24,[],03-05-21,<diario.Link object at 0x14e794438>
17,Público,Elecciones Madrid La Junta Provincial estima que Iglesias y Ayuso infringieron la ley electoral,0.0038605295121669,0.9806859493255616,0.015453609637916,14,https://www.publico.es//politica/elecciones-madrid-junta-electoral-estima-iglesias-ayuso-incurrieron-infraccion-ley-electoral.html,2021-03-25,[],03-05-21,<diario.Link object at 0x14e794748>
16,Público,Cantó pide aglutinar el voto en torno a Ayuso y dice que su puesto en la lista está aún por definir,0.0080959731712937,0.854569673538208,0.137334331870079,21,https://www.publico.es//directos/elecciones-madrid-directo-ultimas-noticias-precampana-electoral-4-mayo.html,2021-03-25,[],03-05-21,<diario.Link object at 0x14e794780>
15,Público,Ayuso busca encaje a Toni Cantó tras anunciar a Génova su fichaje,0.1560036540031433,0.3322487473487854,0.5117475390434265,12,https://www.publico.es//politica/ayuso-busca-encaje-toni-canto-anunciar-genova-fichaje.html,2021-03-25,[],03-05-21,<diario.Link object at 0x14e7946d8>
14,Público,Elecciones en Madrid Toni Cantó afirma que está empadronado en Madrid y la Junta Electoral decidirá si puede ser candidato,0.0190440267324447,0.0338778235018253,0.9470781087875366,20,https://www.publico.es//politica/toni-canto-afirma-empadronado-madrid-junta-electoral-decidira-candidato.html,2021-03-25,[],03-05-21,<diario.Link object at 0x14e7945c0>
18,Público,"El PP niega transfuguismo en Murcia y acusa a Sánchez, Iglesias y Arrimadas de ""embarrar""",0.0107469810172915,0.6832751035690308,0.3059779405593872,15,https://www.publico.es//directos/elecciones-madrid-directo-ultima-hora-precampana-electoral-4-mayo.html,2021-03-26,[],03-05-21,<diario.Link object at 0x14e794400>
19,ABC,Elecciones Madrid El 25 de abril último día para votar por correo en las elecciones del 4 de mayo,0.0265481919050216,0.0496176145970821,0.923834264278412,19,https://www.abc.es/espana/madrid/abci-elecciones-madrid-4-mayo-hasta-cuando-se-puede-votar-por-correo-nsv-202103261311_noticia.html,2021-03-26,[],23-04-21,
20,Público,Elecciones Madrid Toni Cantó ocupa el quinto puesto de la lista de Ayuso para las elecciones,0.1340123564004898,0.1187939718365669,0.7471937537193298,16,https://www.publico.es//politica/elecciones-madrid-toni-canto-ocupa-quinto-puesto-lista-ayuso-elecciones.html,2021-03-26,[],03-05-21,<diario.Link object at 0x14e794630>
21,ABC,Elecciones Madrid El 24 de abril último día para votar por correo en las elecciones del 4 de mayo,0.028316706418991,0.0515573173761367,0.9201259613037108,19,https://www.abc.es/espana/madrid/abci-elecciones-madrid-4-mayo-hasta-cuando-se-puede-votar-por-correo-nsv-202103261311_noticia.html,2021-03-26,[],22-04-21,
22,Público,Tránsfugas Ciudadanos Los exdiputados de Ciudadanos Sergio Brabezo y Marta Barbán irán en la lista electoral de Ayuso el 4M,0.0191953051835298,0.2191380113363266,0.7616667151451111,20,https://www.publico.es//politica/exdiputados-ciudadanos-sergio-brabezo-y.html,2021-03-27,[],03-05-21,<diario.Link object at 0x14e7a1ba8>
